symbol,tp_r,mfe1_r,lock1_r,mfe2_r,lock2_r,total_r,delta_vs_base_r,delta_vs_stage1_r,win_pct,win_delta_vs_stage1_pct,max_dd_r,dd_change_vs_stage1_r,n
XRPUSDT,8.0,2.0,1.2,5.5,5.0,205.7291,-38.8,-6.2,44.54,0.0,10.3217,-0.1041,229
XRPUSDT,8.0,2.0,1.2,6.0,5.0,203.3291,-41.2,-8.6,44.54,0.0,10.3217,-0.1041,229
XRPUSDT,8.0,2.0,1.2,6.0,5.5,211.3291,-33.2,-0.6,44.54,0.0,10.2176,0.0,229
XRPUSDT,8.0,2.0,1.2,6.5,5.0,211.5291,-33.0,-0.4,44.54,0.0,10.3217,-0.1041,229
XRPUSDT,8.0,2.0,1.2,6.5,5.5,212.0291,-32.5,0.1,44.54,0.0,10.2176,0.0,229
XRPUSDT,8.0,2.0,1.2,6.5,6.0,221.5291,-23.0,9.6,44.54,0.0,10.2176,0.0,229
XRPUSDT,8.0,2.0,1.2,7.0,5.0,212.1291,-32.4,0.2,44.54,0.0,11.1882,-0.9706,229
XRPUSDT,8.0,2.0,1.2,7.0,5.5,214.1291,-30.4,2.2,44.54,0.0,10.6882,-0.4706,229
XRPUSDT,8.0,2.0,1.2,7.0,6.0,213.1291,-31.4,1.2,44.54,0.0,10.2176,0.0,229
XRPUSDT,8.0,2.0,1.2,7.0,6.5,212.1291,-32.4,0.2,44.54,0.0,10.2176,0.0,229
BTCUSDT,8.0,2.0,1.4,5.5,5.0,193.598,-49.8,-4.2,42.02,0.0,24.8093,-1.9962,326
BTCUSDT,8.0,2.0,1.4,6.0,5.0,191.198,-52.2,-6.6,42.02,0.0,24.8093,-1.9962,326
BTCUSDT,8.0,2.0,1.4,6.0,5.5,189.698,-53.7,-8.1,42.02,0.0,24.3093,-1.4962,326
BTCUSDT,8.0,2.0,1.4,6.5,5.0,179.798,-63.6,-18.0,42.02,0.0,25.8131,-3.0,326
BTCUSDT,8.0,2.0,1.4,6.5,5.5,180.798,-62.6,-17.0,42.02,0.0,25.3131,-2.5,326
BTCUSDT,8.0,2.0,1.4,6.5,6.0,184.798,-58.6,-13.0,42.02,0.0,24.8131,-2.0,326
BTCUSDT,8.0,2.0,1.4,7.0,5.0,180.398,-63.0,-17.4,42.02,0.0,22.8131,-0.0,326
BTCUSDT,8.0,2.0,1.4,7.0,5.5,176.898,-66.5,-20.9,42.02,0.0,22.8131,-0.0,326
BTCUSDT,8.0,2.0,1.4,7.0,6.0,178.398,-65.0,-19.4,42.02,0.0,22.8131,-0.0,326
BTCUSDT,8.0,2.0,1.4,7.0,6.5,181.898,-61.5,-15.9,42.02,0.0,22.8131,-0.0,326
SOLUSDT,8.0,1.0,0.8,5.5,5.0,237.0569,37.8,3.6,53.97,-0.0,8.4122,6.2329,315
SOLUSDT,8.0,1.0,0.8,6.0,5.0,242.4569,43.2,9.0,53.97,-0.0,8.4122,6.2329,315
SOLUSDT,8.0,1.0,0.8,6.0,5.5,242.9569,43.7,9.5,53.97,-0.0,8.4122,6.2329,315
SOLUSDT,8.0,1.0,0.8,6.5,5.0,246.0569,46.8,12.6,53.97,-0.0,8.4122,6.2329,315
SOLUSDT,8.0,1.0,0.8,6.5,5.5,248.5569,49.3,15.1,53.97,-0.0,8.4122,6.2329,315
SOLUSDT,8.0,1.0,0.8,6.5,6.0,249.0569,49.8,15.6,53.97,-0.0,8.4122,6.2329,315
SOLUSDT,8.0,1.0,0.8,7.0,5.0,234.0569,34.8,0.6,53.97,-0.0,10.4451,4.2,315
SOLUSDT,8.0,1.0,0.8,7.0,5.5,235.0569,35.8,1.6,53.97,-0.0,9.9451,4.7,315
SOLUSDT,8.0,1.0,0.8,7.0,6.0,233.0569,33.8,-0.4,53.97,-0.0,9.8379,4.8072,315
SOLUSDT,8.0,1.0,0.8,7.0,6.5,234.0569,34.8,0.6,53.97,-0.0,9.8379,4.8072,315
LINKUSDT,8.0,2.0,1.6,5.5,5.0,165.8803,17.1786,-7.6214,41.85,0.18,19.4126,-0.0,313
LINKUSDT,8.0,2.0,1.6,6.0,5.0,168.8803,20.1786,-4.6214,41.85,0.18,19.4126,-0.0,313
LINKUSDT,8.0,2.0,1.6,6.0,5.5,172.3803,23.6786,-1.1214,41.85,0.18,19.4126,-0.0,313
LINKUSDT,8.0,2.0,1.6,6.5,5.0,177.8803,29.1786,4.3786,41.85,0.18,19.4126,-0.0,313
LINKUSDT,8.0,2.0,1.6,6.5,5.5,174.8803,26.1786,1.3786,41.85,0.18,19.4126,-0.0,313
LINKUSDT,8.0,2.0,1.6,6.5,6.0,181.8803,33.1786,8.3786,41.85,0.18,19.4126,-0.0,313
LINKUSDT,8.0,2.0,1.6,7.0,5.0,180.0803,31.3786,6.5786,41.85,0.18,19.4126,-0.0,313
LINKUSDT,8.0,2.0,1.6,7.0,5.5,174.5803,25.8786,1.0786,41.85,0.18,19.4126,-0.0,313
LINKUSDT,8.0,2.0,1.6,7.0,6.0,181.0803,32.3786,7.5786,41.85,0.18,19.4126,-0.0,313
LINKUSDT,8.0,2.0,1.6,7.0,6.5,184.5803,35.8786,11.0786,41.85,0.18,19.4126,-0.0,313
DOGEUSDT,8.0,1.5,1.0,5.5,5.0,128.5379,6.0,-6.0,47.62,-0.0,9.5348,-0.0,210
DOGEUSDT,8.0,1.5,1.0,6.0,5.0,137.5379,15.0,3.0,47.62,-0.0,9.5348,-0.0,210
DOGEUSDT,8.0,1.5,1.0,6.0,5.5,134.0379,11.5,-0.5,47.62,-0.0,9.5348,-0.0,210
DOGEUSDT,8.0,1.5,1.0,6.5,5.0,138.5379,16.0,4.0,47.62,-0.0,9.5348,-0.0,210
DOGEUSDT,8.0,1.5,1.0,6.5,5.5,135.0379,12.5,0.5,47.62,-0.0,9.5348,-0.0,210
DOGEUSDT,8.0,1.5,1.0,6.5,6.0,136.5379,14.0,2.0,47.62,-0.0,9.5348,-0.0,210
DOGEUSDT,8.0,1.5,1.0,7.0,5.0,136.5379,14.0,2.0,47.62,-0.0,9.5348,-0.0,210
DOGEUSDT,8.0,1.5,1.0,7.0,5.5,136.0379,13.5,1.5,47.62,-0.0,9.5348,-0.0,210
DOGEUSDT,8.0,1.5,1.0,7.0,6.0,134.5379,12.0,-0.0,47.62,-0.0,9.5348,-0.0,210
DOGEUSDT,8.0,1.5,1.0,7.0,6.5,135.0379,12.5,0.5,47.62,-0.0,9.5348,-0.0,210
