symbol,tp_r,mfe1_r,lock1_r,mfe2_r,lock2_r,mfe3_r,lock3_r,total_r,delta_vs_tp_only,delta_vs_stage1,delta_vs_two_stage,win_pct,max_dd_r,avg_hold_h
XRPUSDT,8.0,0.5,1.0,1.25,3.0,4.0,3.5,112.1022,36.5,25.5,3.5,51.22,4.243,9.07
XRPUSDT,8.0,0.5,1.0,1.25,3.0,4.0,4.0,115.6022,40.0,29.0,7.0,51.22,4.243,9.07
XRPUSDT,8.0,0.5,1.0,1.25,3.0,4.0,4.5,119.1022,43.5,32.5,10.5,51.22,4.243,9.07
XRPUSDT,8.0,0.5,1.0,1.25,3.0,4.0,5.0,122.6022,47.0,36.0,14.0,51.22,4.243,9.07
XRPUSDT,8.0,0.5,1.0,1.25,3.0,4.0,5.5,126.1022,50.5,39.5,17.5,51.22,4.243,9.07
XRPUSDT,8.0,0.5,1.0,1.25,3.0,4.0,6.0,129.6022,54.0,43.0,21.0,51.22,4.243,9.07
XRPUSDT,8.0,0.5,1.0,1.25,3.0,4.5,3.5,112.1022,36.5,25.5,3.5,51.22,4.243,9.07
XRPUSDT,8.0,0.5,1.0,1.25,3.0,4.5,4.0,115.6022,40.0,29.0,7.0,51.22,4.243,9.07
XRPUSDT,8.0,0.5,1.0,1.25,3.0,4.5,4.5,119.1022,43.5,32.5,10.5,51.22,4.243,9.07
XRPUSDT,8.0,0.5,1.0,1.25,3.0,4.5,5.0,122.6022,47.0,36.0,14.0,51.22,4.243,9.07
XRPUSDT,8.0,0.5,1.0,1.25,3.0,4.5,5.5,126.1022,50.5,39.5,17.5,51.22,4.243,9.07
XRPUSDT,8.0,0.5,1.0,1.25,3.0,4.5,6.0,129.6022,54.0,43.0,21.0,51.22,4.243,9.07
XRPUSDT,8.0,0.5,1.0,1.25,3.0,5.0,3.5,111.6022,36.0,25.0,3.0,51.22,4.243,9.07
XRPUSDT,8.0,0.5,1.0,1.25,3.0,5.0,4.0,114.6022,39.0,28.0,6.0,51.22,4.243,9.07
XRPUSDT,8.0,0.5,1.0,1.25,3.0,5.0,4.5,117.6022,42.0,31.0,9.0,51.22,4.243,9.07
XRPUSDT,8.0,0.5,1.0,1.25,3.0,5.0,5.0,120.6022,45.0,34.0,12.0,51.22,4.243,9.07
XRPUSDT,8.0,0.5,1.0,1.25,3.0,5.0,5.5,123.6022,48.0,37.0,15.0,51.22,4.243,9.07
XRPUSDT,8.0,0.5,1.0,1.25,3.0,5.0,6.0,126.6022,51.0,40.0,18.0,51.22,4.243,9.07
XRPUSDT,8.0,0.5,1.0,1.25,3.0,5.5,3.5,111.6022,36.0,25.0,3.0,51.22,4.243,9.07
XRPUSDT,8.0,0.5,1.0,1.25,3.0,5.5,4.0,114.6022,39.0,28.0,6.0,51.22,4.243,9.07
XRPUSDT,8.0,0.5,1.0,1.25,3.0,5.5,4.5,117.6022,42.0,31.0,9.0,51.22,4.243,9.07
XRPUSDT,8.0,0.5,1.0,1.25,3.0,5.5,5.0,120.6022,45.0,34.0,12.0,51.22,4.243,9.07
XRPUSDT,8.0,0.5,1.0,1.25,3.0,5.5,5.5,123.6022,48.0,37.0,15.0,51.22,4.243,9.07
XRPUSDT,8.0,0.5,1.0,1.25,3.0,5.5,6.0,126.6022,51.0,40.0,18.0,51.22,4.243,9.07
BTCUSDT,8.0,0.5,1.0,1.25,3.0,4.0,3.5,97.7891,7.5,24.5,-5.5,53.66,3.7983,15.66
BTCUSDT,8.0,0.5,1.0,1.25,3.0,4.0,4.0,102.2891,12.0,29.0,-1.0,53.66,3.7983,15.66
BTCUSDT,8.0,0.5,1.0,1.25,3.0,4.0,4.5,106.7891,16.5,33.5,3.5,53.66,3.7983,15.66
BTCUSDT,8.0,0.5,1.0,1.25,3.0,4.0,5.0,111.2891,21.0,38.0,8.0,53.66,3.7983,15.61
BTCUSDT,8.0,0.5,1.0,1.25,3.0,4.0,5.5,115.7891,25.5,42.5,12.5,53.66,3.7983,15.61
BTCUSDT,8.0,0.5,1.0,1.25,3.0,4.0,6.0,120.2891,30.0,47.0,17.0,53.66,3.7983,15.61
BTCUSDT,8.0,0.5,1.0,1.25,3.0,4.5,3.5,97.2891,7.0,24.0,-6.0,53.66,3.7983,15.66
BTCUSDT,8.0,0.5,1.0,1.25,3.0,4.5,4.0,101.2891,11.0,28.0,-2.0,53.66,3.7983,15.66
BTCUSDT,8.0,0.5,1.0,1.25,3.0,4.5,4.5,105.2891,15.0,32.0,2.0,53.66,3.7983,15.66
BTCUSDT,8.0,0.5,1.0,1.25,3.0,4.5,5.0,109.2891,19.0,36.0,6.0,53.66,3.7983,15.61
BTCUSDT,8.0,0.5,1.0,1.25,3.0,4.5,5.5,113.2891,23.0,40.0,10.0,53.66,3.7983,15.61
BTCUSDT,8.0,0.5,1.0,1.25,3.0,4.5,6.0,117.2891,27.0,44.0,14.0,53.66,3.7983,15.61
BTCUSDT,8.0,0.5,1.0,1.25,3.0,5.0,3.5,96.2891,6.0,23.0,-7.0,53.66,3.7983,15.66
BTCUSDT,8.0,0.5,1.0,1.25,3.0,5.0,4.0,99.2891,9.0,26.0,-4.0,53.66,3.7983,15.66
BTCUSDT,8.0,0.5,1.0,1.25,3.0,5.0,4.5,102.2891,12.0,29.0,-1.0,53.66,3.7983,15.66
BTCUSDT,8.0,0.5,1.0,1.25,3.0,5.0,5.0,105.2891,15.0,32.0,2.0,53.66,3.7983,15.61
BTCUSDT,8.0,0.5,1.0,1.25,3.0,5.0,5.5,108.2891,18.0,35.0,5.0,53.66,3.7983,15.61
BTCUSDT,8.0,0.5,1.0,1.25,3.0,5.0,6.0,111.2891,21.0,38.0,8.0,53.66,3.7983,15.61
BTCUSDT,8.0,0.5,1.0,1.25,3.0,5.5,3.5,96.2891,6.0,23.0,-7.0,53.66,3.7983,15.66
BTCUSDT,8.0,0.5,1.0,1.25,3.0,5.5,4.0,99.2891,9.0,26.0,-4.0,53.66,3.7983,15.66
BTCUSDT,8.0,0.5,1.0,1.25,3.0,5.5,4.5,102.2891,12.0,29.0,-1.0,53.66,3.7983,15.66
BTCUSDT,8.0,0.5,1.0,1.25,3.0,5.5,5.0,105.2891,15.0,32.0,2.0,53.66,3.7983,15.61
BTCUSDT,8.0,0.5,1.0,1.25,3.0,5.5,5.5,108.2891,18.0,35.0,5.0,53.66,3.7983,15.61
BTCUSDT,8.0,0.5,1.0,1.25,3.0,5.5,6.0,111.2891,21.0,38.0,8.0,53.66,3.7983,15.61
SOLUSDT,8.0,0.5,1.0,1.25,3.0,4.0,3.5,71.7612,-1.5,45.5,4.5,44.09,8.5455,8.77
SOLUSDT,8.0,0.5,1.0,1.25,3.0,4.0,4.0,76.2612,3.0,50.0,9.0,44.09,8.5455,8.73
SOLUSDT,8.0,0.5,1.0,1.25,3.0,4.0,4.5,80.7612,7.5,54.5,13.5,44.09,8.5455,8.73
SOLUSDT,8.0,0.5,1.0,1.25,3.0,4.0,5.0,85.2612,12.0,59.0,18.0,44.09,8.5455,8.73
SOLUSDT,8.0,0.5,1.0,1.25,3.0,4.0,5.5,89.7612,16.5,63.5,22.5,44.09,8.5455,8.73
SOLUSDT,8.0,0.5,1.0,1.25,3.0,4.0,6.0,94.2612,21.0,68.0,27.0,44.09,8.5455,8.73
SOLUSDT,8.0,0.5,1.0,1.25,3.0,4.5,3.5,71.2612,-2.0,45.0,4.0,44.09,8.5455,8.77
SOLUSDT,8.0,0.5,1.0,1.25,3.0,4.5,4.0,75.2612,2.0,49.0,8.0,44.09,8.5455,8.73
SOLUSDT,8.0,0.5,1.0,1.25,3.0,4.5,4.5,79.2612,6.0,53.0,12.0,44.09,8.5455,8.73
SOLUSDT,8.0,0.5,1.0,1.25,3.0,4.5,5.0,83.2612,10.0,57.0,16.0,44.09,8.5455,8.73
SOLUSDT,8.0,0.5,1.0,1.25,3.0,4.5,5.5,87.2612,14.0,61.0,20.0,44.09,8.5455,8.73
SOLUSDT,8.0,0.5,1.0,1.25,3.0,4.5,6.0,91.2612,18.0,65.0,24.0,44.09,8.5455,8.73
SOLUSDT,8.0,0.5,1.0,1.25,3.0,5.0,3.5,70.7612,-2.5,44.5,3.5,44.09,8.5455,8.77
SOLUSDT,8.0,0.5,1.0,1.25,3.0,5.0,4.0,74.2612,1.0,48.0,7.0,44.09,8.5455,8.73
SOLUSDT,8.0,0.5,1.0,1.25,3.0,5.0,4.5,77.7612,4.5,51.5,10.5,44.09,8.5455,8.73
SOLUSDT,8.0,0.5,1.0,1.25,3.0,5.0,5.0,81.2612,8.0,55.0,14.0,44.09,8.5455,8.73
SOLUSDT,8.0,0.5,1.0,1.25,3.0,5.0,5.5,84.7612,11.5,58.5,17.5,44.09,8.5455,8.73
SOLUSDT,8.0,0.5,1.0,1.25,3.0,5.0,6.0,88.2612,15.0,62.0,21.0,44.09,8.5455,8.73
SOLUSDT,8.0,0.5,1.0,1.25,3.0,5.5,3.5,70.7612,-2.5,44.5,3.5,44.09,8.5455,8.77
SOLUSDT,8.0,0.5,1.0,1.25,3.0,5.5,4.0,74.2612,1.0,48.0,7.0,44.09,8.5455,8.73
SOLUSDT,8.0,0.5,1.0,1.25,3.0,5.5,4.5,77.7612,4.5,51.5,10.5,44.09,8.5455,8.73
SOLUSDT,8.0,0.5,1.0,1.25,3.0,5.5,5.0,81.2612,8.0,55.0,14.0,44.09,8.5455,8.73
SOLUSDT,8.0,0.5,1.0,1.25,3.0,5.5,5.5,84.7612,11.5,58.5,17.5,44.09,8.5455,8.73
SOLUSDT,8.0,0.5,1.0,1.25,3.0,5.5,6.0,88.2612,15.0,62.0,21.0,44.09,8.5455,8.73
LINKUSDT,8.0,0.5,1.0,1.25,3.0,4.0,3.5,49.4985,-7.5214,13.5,1.5,37.88,9.5994,50.79
LINKUSDT,8.0,0.5,1.0,1.25,3.0,4.0,4.0,50.9985,-6.0214,15.0,3.0,37.88,9.5994,50.79
LINKUSDT,8.0,0.5,1.0,1.25,3.0,4.0,4.5,52.4985,-4.5214,16.5,4.5,37.88,9.5994,50.79
LINKUSDT,8.0,0.5,1.0,1.25,3.0,4.0,5.0,53.9985,-3.0214,18.0,6.0,37.88,9.5994,50.79
LINKUSDT,8.0,0.5,1.0,1.25,3.0,4.0,5.5,55.4985,-1.5214,19.5,7.5,37.88,9.5994,50.79
LINKUSDT,8.0,0.5,1.0,1.25,3.0,4.0,6.0,56.9985,-0.0214,21.0,9.0,37.88,9.5994,50.79
LINKUSDT,8.0,0.5,1.0,1.25,3.0,4.5,3.5,49.4985,-7.5214,13.5,1.5,37.88,9.5994,50.79
LINKUSDT,8.0,0.5,1.0,1.25,3.0,4.5,4.0,50.9985,-6.0214,15.0,3.0,37.88,9.5994,50.79
LINKUSDT,8.0,0.5,1.0,1.25,3.0,4.5,4.5,52.4985,-4.5214,16.5,4.5,37.88,9.5994,50.79
LINKUSDT,8.0,0.5,1.0,1.25,3.0,4.5,5.0,53.9985,-3.0214,18.0,6.0,37.88,9.5994,50.79
LINKUSDT,8.0,0.5,1.0,1.25,3.0,4.5,5.5,55.4985,-1.5214,19.5,7.5,37.88,9.5994,50.79
LINKUSDT,8.0,0.5,1.0,1.25,3.0,4.5,6.0,56.9985,-0.0214,21.0,9.0,37.88,9.5994,50.79
LINKUSDT,8.0,0.5,1.0,1.25,3.0,5.0,3.5,49.4985,-7.5214,13.5,1.5,37.88,9.5994,50.79
LINKUSDT,8.0,0.5,1.0,1.25,3.0,5.0,4.0,50.9985,-6.0214,15.0,3.0,37.88,9.5994,50.79
LINKUSDT,8.0,0.5,1.0,1.25,3.0,5.0,4.5,52.4985,-4.5214,16.5,4.5,37.88,9.5994,50.79
LINKUSDT,8.0,0.5,1.0,1.25,3.0,5.0,5.0,53.9985,-3.0214,18.0,6.0,37.88,9.5994,50.79
LINKUSDT,8.0,0.5,1.0,1.25,3.0,5.0,5.5,55.4985,-1.5214,19.5,7.5,37.88,9.5994,50.79
LINKUSDT,8.0,0.5,1.0,1.25,3.0,5.0,6.0,56.9985,-0.0214,21.0,9.0,37.88,9.5994,50.79
LINKUSDT,8.0,0.5,1.0,1.25,3.0,5.5,3.5,48.4985,-8.5214,12.5,0.5,37.88,9.5994,50.79
LINKUSDT,8.0,0.5,1.0,1.25,3.0,5.5,4.0,48.9985,-8.0214,13.0,1.0,37.88,9.5994,50.79
LINKUSDT,8.0,0.5,1.0,1.25,3.0,5.5,4.5,49.4985,-7.5214,13.5,1.5,37.88,9.5994,50.79
LINKUSDT,8.0,0.5,1.0,1.25,3.0,5.5,5.0,49.9985,-7.0214,14.0,2.0,37.88,9.5994,50.79
LINKUSDT,8.0,0.5,1.0,1.25,3.0,5.5,5.5,50.4985,-6.5214,14.5,2.5,37.88,9.5994,50.79
LINKUSDT,8.0,0.5,1.0,1.25,3.0,5.5,6.0,50.9985,-6.0214,15.0,3.0,37.88,9.5994,50.79
DOGEUSDT,8.0,0.5,1.0,1.25,3.0,4.0,3.5,29.3453,-8.0,1.0,0.0,29.31,9.5348,57.93
DOGEUSDT,8.0,0.5,1.0,1.25,3.0,4.0,4.0,29.3453,-8.0,1.0,0.0,29.31,9.5348,57.93
DOGEUSDT,8.0,0.5,1.0,1.25,3.0,4.0,4.5,29.3453,-8.0,1.0,0.0,29.31,9.5348,57.93
DOGEUSDT,8.0,0.5,1.0,1.25,3.0,4.0,5.0,29.3453,-8.0,1.0,0.0,29.31,9.5348,57.93
DOGEUSDT,8.0,0.5,1.0,1.25,3.0,4.0,5.5,29.3453,-8.0,1.0,0.0,29.31,9.5348,57.93
DOGEUSDT,8.0,0.5,1.0,1.25,3.0,4.0,6.0,29.3453,-8.0,1.0,0.0,29.31,9.5348,57.93
DOGEUSDT,8.0,0.5,1.0,1.25,3.0,4.5,3.5,29.3453,-8.0,1.0,0.0,29.31,9.5348,57.93
DOGEUSDT,8.0,0.5,1.0,1.25,3.0,4.5,4.0,29.3453,-8.0,1.0,0.0,29.31,9.5348,57.93
DOGEUSDT,8.0,0.5,1.0,1.25,3.0,4.5,4.5,29.3453,-8.0,1.0,0.0,29.31,9.5348,57.93
DOGEUSDT,8.0,0.5,1.0,1.25,3.0,4.5,5.0,29.3453,-8.0,1.0,0.0,29.31,9.5348,57.93
DOGEUSDT,8.0,0.5,1.0,1.25,3.0,4.5,5.5,29.3453,-8.0,1.0,0.0,29.31,9.5348,57.93
DOGEUSDT,8.0,0.5,1.0,1.25,3.0,4.5,6.0,29.3453,-8.0,1.0,0.0,29.31,9.5348,57.93
DOGEUSDT,8.0,0.5,1.0,1.25,3.0,5.0,3.5,29.3453,-8.0,1.0,0.0,29.31,9.5348,57.93
DOGEUSDT,8.0,0.5,1.0,1.25,3.0,5.0,4.0,29.3453,-8.0,1.0,0.0,29.31,9.5348,57.93
DOGEUSDT,8.0,0.5,1.0,1.25,3.0,5.0,4.5,29.3453,-8.0,1.0,0.0,29.31,9.5348,57.93
DOGEUSDT,8.0,0.5,1.0,1.25,3.0,5.0,5.0,29.3453,-8.0,1.0,0.0,29.31,9.5348,57.93
DOGEUSDT,8.0,0.5,1.0,1.25,3.0,5.0,5.5,29.3453,-8.0,1.0,0.0,29.31,9.5348,57.93
DOGEUSDT,8.0,0.5,1.0,1.25,3.0,5.0,6.0,29.3453,-8.0,1.0,0.0,29.31,9.5348,57.93
DOGEUSDT,8.0,0.5,1.0,1.25,3.0,5.5,3.5,29.3453,-8.0,1.0,0.0,29.31,9.5348,57.93
DOGEUSDT,8.0,0.5,1.0,1.25,3.0,5.5,4.0,29.3453,-8.0,1.0,0.0,29.31,9.5348,57.93
DOGEUSDT,8.0,0.5,1.0,1.25,3.0,5.5,4.5,29.3453,-8.0,1.0,0.0,29.31,9.5348,57.93
DOGEUSDT,8.0,0.5,1.0,1.25,3.0,5.5,5.0,29.3453,-8.0,1.0,0.0,29.31,9.5348,57.93
DOGEUSDT,8.0,0.5,1.0,1.25,3.0,5.5,5.5,29.3453,-8.0,1.0,0.0,29.31,9.5348,57.93
DOGEUSDT,8.0,0.5,1.0,1.25,3.0,5.5,6.0,29.3453,-8.0,1.0,0.0,29.31,9.5348,57.93
