symbol,tp_r,mfe1_r,lock1_r,mfe2_r,lock2_r,mfe3_r,lock3_r,resolution,cap_lock_by_mfe,total_r,delta_vs_tp_only,delta_vs_stage1,delta_vs_two_stage,win_pct,max_dd_r,avg_hold_h
XRPUSDT,8.0,0.5,1.0,1.25,3.0,4.0,3.5,5m,1,191.2508,-44.2782,-6.2782,-1.0,63.32,5.5271,4.12
XRPUSDT,8.0,0.5,1.0,1.25,3.0,4.0,4.0,5m,1,195.2508,-40.2782,-2.2782,3.0,63.32,5.5271,4.11
XRPUSDT,8.0,0.5,1.0,1.25,3.0,4.0,4.5,5m,1,198.7429,-36.7861,1.2139,6.4921,63.32,5.5271,4.11
XRPUSDT,8.0,0.5,1.0,1.25,3.0,4.0,5.0,5m,1,201.2442,-34.2849,3.7151,8.9933,63.32,5.5271,4.11
XRPUSDT,8.0,0.5,1.0,1.25,3.0,4.0,5.5,5m,1,202.6514,-32.8777,5.1223,10.4006,63.32,5.5271,4.11
XRPUSDT,8.0,0.5,1.0,1.25,3.0,4.0,6.0,5m,1,201.4321,-34.097,3.903,9.1813,63.32,5.5271,4.11
XRPUSDT,8.0,0.5,1.0,1.25,3.0,4.5,3.5,5m,1,191.2508,-44.2782,-6.2782,-1.0,63.32,5.5271,4.15
XRPUSDT,8.0,0.5,1.0,1.25,3.0,4.5,4.0,5m,1,195.2508,-40.2782,-2.2782,3.0,63.32,5.5271,4.14
XRPUSDT,8.0,0.5,1.0,1.25,3.0,4.5,4.5,5m,1,199.2508,-36.2782,1.7218,7.0,63.32,5.5271,4.12
XRPUSDT,8.0,0.5,1.0,1.25,3.0,4.5,5.0,5m,1,201.9436,-33.5855,4.4145,9.6927,63.32,5.5271,4.12
XRPUSDT,8.0,0.5,1.0,1.25,3.0,4.5,5.5,5m,1,203.3508,-32.1783,5.8217,11.0999,63.32,5.5271,4.12
XRPUSDT,8.0,0.5,1.0,1.25,3.0,4.5,6.0,5m,1,202.1315,-33.3976,4.6024,9.8806,63.32,5.5271,4.12
XRPUSDT,8.0,0.5,1.0,1.25,3.0,5.0,3.5,5m,1,195.2508,-40.2782,-2.2782,3.0,63.32,5.5271,4.17
XRPUSDT,8.0,0.5,1.0,1.25,3.0,5.0,4.0,5m,1,198.2508,-37.2782,0.7218,6.0,63.32,5.5271,4.16
XRPUSDT,8.0,0.5,1.0,1.25,3.0,5.0,4.5,5m,1,201.2508,-34.2782,3.7218,9.0,63.32,5.5271,4.15
XRPUSDT,8.0,0.5,1.0,1.25,3.0,5.0,5.0,5m,1,201.2508,-34.2782,3.7218,9.0,63.32,5.5271,4.14
XRPUSDT,8.0,0.5,1.0,1.25,3.0,5.0,5.5,5m,1,203.5219,-32.0072,5.9928,11.271,63.32,5.5271,4.14
XRPUSDT,8.0,0.5,1.0,1.25,3.0,5.0,6.0,5m,1,202.3026,-33.2265,4.7735,10.0517,63.32,5.5271,4.14
XRPUSDT,8.0,0.5,1.0,1.25,3.0,5.5,3.5,5m,1,194.2508,-41.2782,-3.2782,2.0,63.32,5.5271,4.24
XRPUSDT,8.0,0.5,1.0,1.25,3.0,5.5,4.0,5m,1,196.2508,-39.2782,-1.2782,4.0,63.32,5.5271,4.23
XRPUSDT,8.0,0.5,1.0,1.25,3.0,5.5,4.5,5m,1,198.2508,-37.2782,0.7218,6.0,63.32,5.5271,4.23
XRPUSDT,8.0,0.5,1.0,1.25,3.0,5.5,5.0,5m,1,197.2508,-38.2782,-0.2782,5.0,63.32,5.5271,4.16
XRPUSDT,8.0,0.5,1.0,1.25,3.0,5.5,5.5,5m,1,199.7508,-35.7782,2.2218,7.5,63.32,5.5271,4.16
XRPUSDT,8.0,0.5,1.0,1.25,3.0,5.5,6.0,5m,1,199.7394,-35.7897,2.2103,7.4886,63.32,5.5271,4.16
BTCUSDT,8.0,0.5,1.0,1.25,3.0,4.0,3.5,5m,1,215.0374,-1.3606,91.6394,-3.0,59.51,9.7927,3.29
BTCUSDT,8.0,0.5,1.0,1.25,3.0,4.0,4.0,5m,1,218.0374,1.6394,94.6394,0.0,59.51,9.7927,3.27
BTCUSDT,8.0,0.5,1.0,1.25,3.0,4.0,4.5,5m,1,221.1419,4.7438,97.7438,3.1045,59.51,9.7927,3.26
BTCUSDT,8.0,0.5,1.0,1.25,3.0,4.0,5.0,5m,1,221.5538,5.1557,98.1557,3.5164,59.51,9.7927,3.24
BTCUSDT,8.0,0.5,1.0,1.25,3.0,4.0,5.5,5m,1,227.7142,11.3162,104.3162,9.6768,59.51,9.7927,3.23
BTCUSDT,8.0,0.5,1.0,1.25,3.0,4.0,6.0,5m,1,231.508,15.11,108.11,13.4706,59.51,9.7927,3.22
BTCUSDT,8.0,0.5,1.0,1.25,3.0,4.5,3.5,5m,1,219.0374,2.6394,95.6394,1.0,59.51,9.7927,3.31
BTCUSDT,8.0,0.5,1.0,1.25,3.0,4.5,4.0,5m,1,221.0374,4.6394,97.6394,3.0,59.51,9.7927,3.3
BTCUSDT,8.0,0.5,1.0,1.25,3.0,4.5,4.5,5m,1,220.5374,4.1394,97.1394,2.5,59.51,9.7927,3.26
BTCUSDT,8.0,0.5,1.0,1.25,3.0,4.5,5.0,5m,1,221.7351,5.3371,98.3371,3.6977,59.51,9.7927,3.24
BTCUSDT,8.0,0.5,1.0,1.25,3.0,4.5,5.5,5m,1,228.0069,11.6089,104.6089,9.9695,59.51,9.7927,3.23
BTCUSDT,8.0,0.5,1.0,1.25,3.0,4.5,6.0,5m,1,231.8007,15.4027,108.4027,13.7633,59.51,9.7927,3.23
BTCUSDT,8.0,0.5,1.0,1.25,3.0,5.0,3.5,5m,1,218.5374,2.1394,95.1394,0.5,59.51,9.7927,3.32
BTCUSDT,8.0,0.5,1.0,1.25,3.0,5.0,4.0,5m,1,220.0374,3.6394,96.6394,2.0,59.51,9.7927,3.3
BTCUSDT,8.0,0.5,1.0,1.25,3.0,5.0,4.5,5m,1,219.0374,2.6394,95.6394,1.0,59.51,9.7927,3.27
BTCUSDT,8.0,0.5,1.0,1.25,3.0,5.0,5.0,5m,1,220.0374,3.6394,96.6394,2.0,59.51,9.7927,3.25
BTCUSDT,8.0,0.5,1.0,1.25,3.0,5.0,5.5,5m,1,226.3997,10.0017,103.0017,8.3623,59.51,9.7927,3.24
BTCUSDT,8.0,0.5,1.0,1.25,3.0,5.0,6.0,5m,1,230.1935,13.7955,106.7955,12.1561,59.51,9.7927,3.24
BTCUSDT,8.0,0.5,1.0,1.25,3.0,5.5,3.5,5m,1,222.0374,5.6394,98.6394,4.0,59.51,9.7927,3.34
BTCUSDT,8.0,0.5,1.0,1.25,3.0,5.5,4.0,5m,1,218.0374,1.6394,94.6394,0.0,59.51,9.7927,3.32
BTCUSDT,8.0,0.5,1.0,1.25,3.0,5.5,4.5,5m,1,219.5374,3.1394,96.1394,1.5,59.51,9.7927,3.3
BTCUSDT,8.0,0.5,1.0,1.25,3.0,5.5,5.0,5m,1,216.0374,-0.3606,92.6394,-2.0,59.51,9.7927,3.26
BTCUSDT,8.0,0.5,1.0,1.25,3.0,5.5,5.5,5m,1,223.0374,6.6394,99.6394,5.0,59.51,9.7927,3.25
BTCUSDT,8.0,0.5,1.0,1.25,3.0,5.5,6.0,5m,1,227.8254,11.4274,104.4274,9.788,59.51,9.7927,3.25
SOLUSDT,8.0,0.5,1.0,1.25,3.0,4.0,3.5,5m,1,213.9592,59.7022,59.7022,2.5,59.05,8.4122,1.92
SOLUSDT,8.0,0.5,1.0,1.25,3.0,4.0,4.0,5m,1,213.4592,59.2022,59.2022,2.0,59.05,8.4122,1.85
SOLUSDT,8.0,0.5,1.0,1.25,3.0,4.0,4.5,5m,1,220.384,66.1271,66.1271,8.9249,59.05,8.4122,1.83
SOLUSDT,8.0,0.5,1.0,1.25,3.0,4.0,5.0,5m,1,224.8786,70.6217,70.6217,13.4194,59.05,8.4122,1.83
SOLUSDT,8.0,0.5,1.0,1.25,3.0,4.0,5.5,5m,1,227.994,73.7371,73.7371,16.5348,59.05,8.4122,1.83
SOLUSDT,8.0,0.5,1.0,1.25,3.0,4.0,6.0,5m,1,230.1857,75.9288,75.9288,18.7266,59.05,8.4122,1.82
SOLUSDT,8.0,0.5,1.0,1.25,3.0,4.5,3.5,5m,1,212.9592,58.7022,58.7022,1.5,59.05,8.4122,1.92
SOLUSDT,8.0,0.5,1.0,1.25,3.0,4.5,4.0,5m,1,211.4592,57.2022,57.2022,0.0,59.05,8.4122,1.87
SOLUSDT,8.0,0.5,1.0,1.25,3.0,4.5,4.5,5m,1,218.9592,64.7022,64.7022,7.5,59.05,8.4122,1.83
SOLUSDT,8.0,0.5,1.0,1.25,3.0,4.5,5.0,5m,1,224.7499,70.493,70.493,13.2907,59.05,8.4122,1.83
SOLUSDT,8.0,0.5,1.0,1.25,3.0,4.5,5.5,5m,1,227.8653,73.6084,73.6084,16.4061,59.05,8.4122,1.83
SOLUSDT,8.0,0.5,1.0,1.25,3.0,4.5,6.0,5m,1,230.057,75.8001,75.8001,18.5979,59.05,8.4122,1.83
SOLUSDT,8.0,0.5,1.0,1.25,3.0,5.0,3.5,5m,1,211.4592,57.2022,57.2022,-0.0,59.05,8.4122,1.92
SOLUSDT,8.0,0.5,1.0,1.25,3.0,5.0,4.0,5m,1,212.4592,58.2022,58.2022,1.0,59.05,8.4122,1.88
SOLUSDT,8.0,0.5,1.0,1.25,3.0,5.0,4.5,5m,1,217.9592,63.7022,63.7022,6.5,59.05,8.4122,1.85
SOLUSDT,8.0,0.5,1.0,1.25,3.0,5.0,5.0,5m,1,220.4592,66.2022,66.2022,9.0,59.05,8.4122,1.84
SOLUSDT,8.0,0.5,1.0,1.25,3.0,5.0,5.5,5m,1,224.47,70.2131,70.2131,13.0108,59.05,8.4122,1.84
SOLUSDT,8.0,0.5,1.0,1.25,3.0,5.0,6.0,5m,1,226.9556,72.6986,72.6986,15.4964,59.05,8.4122,1.83
SOLUSDT,8.0,0.5,1.0,1.25,3.0,5.5,3.5,5m,1,210.9592,56.7022,56.7022,-0.5,59.05,8.4122,1.92
SOLUSDT,8.0,0.5,1.0,1.25,3.0,5.5,4.0,5m,1,211.4592,57.2022,57.2022,0.0,59.05,8.4122,1.88
SOLUSDT,8.0,0.5,1.0,1.25,3.0,5.5,4.5,5m,1,216.4592,62.2022,62.2022,5.0,59.05,8.4122,1.85
SOLUSDT,8.0,0.5,1.0,1.25,3.0,5.5,5.0,5m,1,218.4592,64.2022,64.2022,7.0,59.05,8.4122,1.84
SOLUSDT,8.0,0.5,1.0,1.25,3.0,5.5,5.5,5m,1,223.9592,69.7022,69.7022,12.5,59.05,8.4122,1.84
SOLUSDT,8.0,0.5,1.0,1.25,3.0,5.5,6.0,5m,1,228.2289,73.9719,73.9719,16.7697,59.05,8.4122,1.84
LINKUSDT,8.0,0.5,1.0,1.25,3.0,4.0,3.5,5m,1,202.7278,90.0262,99.0475,-0.5,55.27,9.1308,10.66
LINKUSDT,8.0,0.5,1.0,1.25,3.0,4.0,4.0,5m,1,203.2278,90.5262,99.5475,0.0,55.27,9.1308,10.64
LINKUSDT,8.0,0.5,1.0,1.25,3.0,4.0,4.5,5m,1,199.9988,87.2971,96.3185,-3.2291,55.27,9.1308,10.63
LINKUSDT,8.0,0.5,1.0,1.25,3.0,4.0,5.0,5m,1,199.9988,87.2971,96.3185,-3.2291,55.27,9.1308,10.63
LINKUSDT,8.0,0.5,1.0,1.25,3.0,4.0,5.5,5m,1,203.0073,90.3056,99.327,-0.2206,55.27,9.1308,10.63
LINKUSDT,8.0,0.5,1.0,1.25,3.0,4.0,6.0,5m,1,204.7673,92.0656,101.087,1.5394,55.27,9.1308,10.63
LINKUSDT,8.0,0.5,1.0,1.25,3.0,4.5,3.5,5m,1,202.2278,89.5262,98.5475,-1.0,55.27,9.1308,10.67
LINKUSDT,8.0,0.5,1.0,1.25,3.0,4.5,4.0,5m,1,202.2278,89.5262,98.5475,-1.0,55.27,9.1308,10.65
LINKUSDT,8.0,0.5,1.0,1.25,3.0,4.5,4.5,5m,1,199.7278,87.0262,96.0475,-3.5,55.27,9.1308,10.64
LINKUSDT,8.0,0.5,1.0,1.25,3.0,4.5,5.0,5m,1,201.1093,88.4076,97.429,-2.1186,55.27,9.1308,10.63
LINKUSDT,8.0,0.5,1.0,1.25,3.0,4.5,5.5,5m,1,204.1177,91.4161,100.4374,0.8899,55.27,9.1308,10.63
LINKUSDT,8.0,0.5,1.0,1.25,3.0,4.5,6.0,5m,1,205.8777,93.1761,102.1974,2.6499,55.27,9.1308,10.63
LINKUSDT,8.0,0.5,1.0,1.25,3.0,5.0,3.5,5m,1,206.7278,94.0262,103.0475,3.5,55.27,9.1308,10.69
LINKUSDT,8.0,0.5,1.0,1.25,3.0,5.0,4.0,5m,1,206.2278,93.5262,102.5475,3.0,55.27,9.1308,10.67
LINKUSDT,8.0,0.5,1.0,1.25,3.0,5.0,4.5,5m,1,199.7278,87.0262,96.0475,-3.5,55.27,9.1308,10.66
LINKUSDT,8.0,0.5,1.0,1.25,3.0,5.0,5.0,5m,1,202.2278,89.5262,98.5475,-1.0,55.27,9.1308,10.65
LINKUSDT,8.0,0.5,1.0,1.25,3.0,5.0,5.5,5m,1,206.8556,94.1539,103.1753,3.6277,55.27,9.1308,10.65
LINKUSDT,8.0,0.5,1.0,1.25,3.0,5.0,6.0,5m,1,209.578,96.8764,105.8977,6.3502,55.27,9.1308,10.65
LINKUSDT,8.0,0.5,1.0,1.25,3.0,5.5,3.5,5m,1,205.7278,93.0262,102.0475,2.5,55.27,9.1308,10.69
LINKUSDT,8.0,0.5,1.0,1.25,3.0,5.5,4.0,5m,1,208.2278,95.5262,104.5475,5.0,55.27,9.1308,10.68
LINKUSDT,8.0,0.5,1.0,1.25,3.0,5.5,4.5,5m,1,203.7278,91.0262,100.0475,0.5,55.27,9.1308,10.67
LINKUSDT,8.0,0.5,1.0,1.25,3.0,5.5,5.0,5m,1,198.2278,85.5262,94.5475,-5.0,55.27,9.1308,10.66
LINKUSDT,8.0,0.5,1.0,1.25,3.0,5.5,5.5,5m,1,203.2278,90.5262,99.5475,0.0,55.27,9.1308,10.66
LINKUSDT,8.0,0.5,1.0,1.25,3.0,5.5,6.0,5m,1,207.065,94.3633,103.3847,3.8371,55.27,9.1308,10.66
DOGEUSDT,8.0,0.5,1.0,1.25,3.0,4.0,3.5,5m,1,108.6205,22.0827,25.0827,-6.0,57.62,9.9892,16.93
DOGEUSDT,8.0,0.5,1.0,1.25,3.0,4.0,4.0,5m,1,112.6205,26.0827,29.0827,-2.0,57.62,9.9892,16.93
DOGEUSDT,8.0,0.5,1.0,1.25,3.0,4.0,4.5,5m,1,115.4395,28.9016,31.9016,0.8189,57.62,9.9892,16.92
DOGEUSDT,8.0,0.5,1.0,1.25,3.0,4.0,5.0,5m,1,117.4149,30.877,33.877,2.7943,57.62,9.9892,16.92
DOGEUSDT,8.0,0.5,1.0,1.25,3.0,4.0,5.5,5m,1,118.5133,31.9754,34.9754,3.8928,57.62,9.9892,16.9
DOGEUSDT,8.0,0.5,1.0,1.25,3.0,4.0,6.0,5m,1,119.0133,32.4754,35.4754,4.3928,57.62,9.9892,16.9
DOGEUSDT,8.0,0.5,1.0,1.25,3.0,4.5,3.5,5m,1,112.1205,25.5827,28.5827,-2.5,57.62,9.9892,16.95
DOGEUSDT,8.0,0.5,1.0,1.25,3.0,4.5,4.0,5m,1,110.6205,24.0827,27.0827,-4.0,57.62,9.9892,16.93
DOGEUSDT,8.0,0.5,1.0,1.25,3.0,4.5,4.5,5m,1,113.6205,27.0827,30.0827,-1.0,57.62,9.9892,16.93
DOGEUSDT,8.0,0.5,1.0,1.25,3.0,4.5,5.0,5m,1,116.1813,29.6434,32.6434,1.5608,57.62,9.9892,16.93
DOGEUSDT,8.0,0.5,1.0,1.25,3.0,4.5,5.5,5m,1,117.6048,31.0669,34.0669,2.9842,57.62,9.9892,16.91
DOGEUSDT,8.0,0.5,1.0,1.25,3.0,4.5,6.0,5m,1,118.1048,31.5669,34.5669,3.4842,57.62,9.9892,16.91
DOGEUSDT,8.0,0.5,1.0,1.25,3.0,5.0,3.5,5m,1,116.6205,30.0827,33.0827,2.0,57.62,9.9892,16.96
DOGEUSDT,8.0,0.5,1.0,1.25,3.0,5.0,4.0,5m,1,110.6205,24.0827,27.0827,-4.0,57.62,9.9892,16.94
DOGEUSDT,8.0,0.5,1.0,1.25,3.0,5.0,4.5,5m,1,113.6205,27.0827,30.0827,-1.0,57.62,9.9892,16.93
DOGEUSDT,8.0,0.5,1.0,1.25,3.0,5.0,5.0,5m,1,116.6205,30.0827,33.0827,2.0,57.62,9.9892,16.93
DOGEUSDT,8.0,0.5,1.0,1.25,3.0,5.0,5.5,5m,1,118.6334,32.0955,35.0955,4.0129,57.62,9.9892,16.91
DOGEUSDT,8.0,0.5,1.0,1.25,3.0,5.0,6.0,5m,1,119.5269,32.989,35.989,4.9063,57.62,9.9892,16.91
DOGEUSDT,8.0,0.5,1.0,1.25,3.0,5.5,3.5,5m,1,116.1205,29.5827,32.5827,1.5,57.62,9.9892,16.96
DOGEUSDT,8.0,0.5,1.0,1.25,3.0,5.5,4.0,5m,1,109.6205,23.0827,26.0827,-5.0,57.62,9.9892,16.94
DOGEUSDT,8.0,0.5,1.0,1.25,3.0,5.5,4.5,5m,1,112.1205,25.5827,28.5827,-2.5,57.62,9.9892,16.93
DOGEUSDT,8.0,0.5,1.0,1.25,3.0,5.5,5.0,5m,1,114.6205,28.0827,31.0827,0.0,57.62,9.9892,16.93
DOGEUSDT,8.0,0.5,1.0,1.25,3.0,5.5,5.5,5m,1,117.1205,30.5827,33.5827,2.5,57.62,9.9892,16.91
DOGEUSDT,8.0,0.5,1.0,1.25,3.0,5.5,6.0,5m,1,118.8489,32.3111,35.3111,4.2284,57.62,9.9892,16.91
