symbol,tp_r,mfe1_r,lock1_r,mfe2_r,lock2_r,total_r,delta_vs_tp_only,delta_vs_stage1,win_pct,max_dd_r,avg_hold_h
XRPUSDT,3.0,0.5,1.0,1.25,1.5,35.1022,10.5,4.5,50.0,7.3451,9.07
XRPUSDT,3.0,0.5,1.0,1.25,2.0,39.6022,15.0,9.0,50.0,6.8451,9.07
XRPUSDT,3.0,0.5,1.0,1.25,2.5,44.1022,19.5,13.5,50.0,6.4497,9.07
XRPUSDT,3.0,0.5,1.0,1.25,3.0,48.6022,24.0,18.0,50.0,6.4497,9.07
XRPUSDT,3.0,0.5,1.0,1.5,1.5,32.6022,8.0,2.0,50.0,7.3451,9.07
XRPUSDT,3.0,0.5,1.0,1.5,2.0,34.6022,10.0,4.0,50.0,6.8451,9.07
XRPUSDT,3.0,0.5,1.0,1.5,2.5,36.6022,12.0,6.0,50.0,6.4497,9.07
XRPUSDT,3.0,0.5,1.0,1.5,3.0,38.6022,14.0,8.0,50.0,6.4497,9.07
XRPUSDT,3.0,0.5,1.0,1.75,1.5,32.1022,7.5,1.5,50.0,7.3451,9.07
XRPUSDT,3.0,0.5,1.0,1.75,2.0,33.6022,9.0,3.0,50.0,6.8451,9.07
XRPUSDT,3.0,0.5,1.0,1.75,2.5,35.1022,10.5,4.5,50.0,6.4497,9.07
XRPUSDT,3.0,0.5,1.0,1.75,3.0,36.6022,12.0,6.0,50.0,6.4497,9.07
XRPUSDT,3.0,0.5,1.0,2.0,1.5,31.6022,7.0,1.0,50.0,7.3451,9.07
XRPUSDT,3.0,0.5,1.0,2.0,2.0,32.6022,8.0,2.0,50.0,6.8451,9.07
XRPUSDT,3.0,0.5,1.0,2.0,2.5,33.6022,9.0,3.0,50.0,6.4497,9.07
XRPUSDT,3.0,0.5,1.0,2.0,3.0,34.6022,10.0,4.0,50.0,6.4497,9.07
XRPUSDT,3.0,0.5,1.0,2.5,1.5,30.6022,6.0,0.0,50.0,8.3402,9.07
XRPUSDT,3.0,0.5,1.0,2.5,2.0,30.6022,6.0,0.0,50.0,8.3402,9.07
XRPUSDT,3.0,0.5,1.0,2.5,2.5,30.6022,6.0,0.0,50.0,8.3402,9.07
XRPUSDT,3.0,0.5,1.0,2.5,3.0,30.6022,6.0,0.0,50.0,8.3402,9.07
XRPUSDT,5.0,0.5,1.0,1.25,1.5,66.6022,12.0,2.0,50.0,4.8311,9.12
XRPUSDT,5.0,0.5,1.0,1.25,2.0,72.6022,18.0,8.0,50.0,4.3311,9.07
XRPUSDT,5.0,0.5,1.0,1.25,2.5,78.6022,24.0,14.0,50.0,4.243,9.07
XRPUSDT,5.0,0.5,1.0,1.25,3.0,84.6022,30.0,20.0,50.0,4.243,9.07
XRPUSDT,5.0,0.5,1.0,1.5,1.5,64.1022,9.5,-0.5,50.0,5.3311,9.12
XRPUSDT,5.0,0.5,1.0,1.5,2.0,67.6022,13.0,3.0,50.0,5.3311,9.07
XRPUSDT,5.0,0.5,1.0,1.5,2.5,71.1022,16.5,6.5,50.0,5.3311,9.07
XRPUSDT,5.0,0.5,1.0,1.5,3.0,74.6022,20.0,10.0,50.0,5.3311,9.07
XRPUSDT,5.0,0.5,1.0,1.75,1.5,63.6022,9.0,-1.0,50.0,5.3311,9.12
XRPUSDT,5.0,0.5,1.0,1.75,2.0,66.6022,12.0,2.0,50.0,5.3311,9.07
XRPUSDT,5.0,0.5,1.0,1.75,2.5,69.6022,15.0,5.0,50.0,5.3311,9.07
XRPUSDT,5.0,0.5,1.0,1.75,3.0,72.6022,18.0,8.0,50.0,5.3311,9.07
XRPUSDT,5.0,0.5,1.0,2.0,1.5,63.1022,8.5,-1.5,50.0,5.3311,9.12
XRPUSDT,5.0,0.5,1.0,2.0,2.0,65.6022,11.0,1.0,50.0,5.3311,9.07
XRPUSDT,5.0,0.5,1.0,2.0,2.5,68.1022,13.5,3.5,50.0,5.3311,9.07
XRPUSDT,5.0,0.5,1.0,2.0,3.0,70.6022,16.0,6.0,50.0,5.3311,9.07
XRPUSDT,5.0,0.5,1.0,2.5,1.5,62.1022,7.5,-2.5,50.0,5.3311,9.12
XRPUSDT,5.0,0.5,1.0,2.5,2.0,63.6022,9.0,-1.0,50.0,5.3311,9.07
XRPUSDT,5.0,0.5,1.0,2.5,2.5,65.1022,10.5,0.5,50.0,5.3311,9.07
XRPUSDT,5.0,0.5,1.0,2.5,3.0,66.6022,12.0,2.0,50.0,5.3311,9.07
XRPUSDT,8.0,0.5,1.0,1.25,1.5,88.1022,12.5,1.5,51.22,4.8311,9.66
XRPUSDT,8.0,0.5,1.0,1.25,2.0,90.6022,15.0,4.0,51.22,4.3311,9.32
XRPUSDT,8.0,0.5,1.0,1.25,2.5,99.6022,24.0,13.0,51.22,4.243,9.32
XRPUSDT,8.0,0.5,1.0,1.25,3.0,108.6022,33.0,22.0,51.22,4.243,9.27
XRPUSDT,8.0,0.5,1.0,1.5,1.5,85.6022,10.0,-1.0,51.22,5.3311,9.66
XRPUSDT,8.0,0.5,1.0,1.5,2.0,85.6022,10.0,-1.0,51.22,5.3311,9.32
XRPUSDT,8.0,0.5,1.0,1.5,2.5,92.1022,16.5,5.5,51.22,5.3311,9.32
XRPUSDT,8.0,0.5,1.0,1.5,3.0,98.6022,23.0,12.0,51.22,5.3311,9.27
XRPUSDT,8.0,0.5,1.0,1.75,1.5,85.1022,9.5,-1.5,51.22,5.3311,9.66
XRPUSDT,8.0,0.5,1.0,1.75,2.0,84.6022,9.0,-2.0,51.22,5.3311,9.32
XRPUSDT,8.0,0.5,1.0,1.75,2.5,90.6022,15.0,4.0,51.22,5.3311,9.32
XRPUSDT,8.0,0.5,1.0,1.75,3.0,96.6022,21.0,10.0,51.22,5.3311,9.27
XRPUSDT,8.0,0.5,1.0,2.0,1.5,84.6022,9.0,-2.0,51.22,5.3311,9.66
XRPUSDT,8.0,0.5,1.0,2.0,2.0,83.6022,8.0,-3.0,51.22,5.3311,9.32
XRPUSDT,8.0,0.5,1.0,2.0,2.5,89.1022,13.5,2.5,51.22,5.3311,9.32
XRPUSDT,8.0,0.5,1.0,2.0,3.0,94.6022,19.0,8.0,51.22,5.3311,9.27
XRPUSDT,8.0,0.5,1.0,2.5,1.5,83.6022,8.0,-3.0,51.22,5.3575,9.66
XRPUSDT,8.0,0.5,1.0,2.5,2.0,81.6022,6.0,-5.0,51.22,5.3311,9.32
XRPUSDT,8.0,0.5,1.0,2.5,2.5,86.1022,10.5,-0.5,51.22,5.3311,9.32
XRPUSDT,8.0,0.5,1.0,2.5,3.0,90.6022,15.0,4.0,51.22,5.3311,9.27
BTCUSDT,3.0,0.5,1.0,1.25,1.5,32.2891,3.0,5.0,53.66,7.6655,15.66
BTCUSDT,3.0,0.5,1.0,1.25,2.0,39.2891,10.0,12.0,53.66,6.1655,15.61
BTCUSDT,3.0,0.5,1.0,1.25,2.5,46.2891,17.0,19.0,53.66,5.9593,15.61
BTCUSDT,3.0,0.5,1.0,1.25,3.0,53.2891,24.0,26.0,53.66,5.9593,15.61
BTCUSDT,3.0,0.5,1.0,1.5,1.5,30.7891,1.5,3.5,53.66,8.1655,15.66
BTCUSDT,3.0,0.5,1.0,1.5,2.0,36.2891,7.0,9.0,53.66,7.1655,15.61
BTCUSDT,3.0,0.5,1.0,1.5,2.5,41.7891,12.5,14.5,53.66,6.1655,15.61
BTCUSDT,3.0,0.5,1.0,1.5,3.0,47.2891,18.0,20.0,53.66,6.0076,15.61
BTCUSDT,3.0,0.5,1.0,1.75,1.5,30.2891,1.0,3.0,53.66,8.1655,15.66
BTCUSDT,3.0,0.5,1.0,1.75,2.0,35.2891,6.0,8.0,53.66,7.1655,15.61
BTCUSDT,3.0,0.5,1.0,1.75,2.5,40.2891,11.0,13.0,53.66,6.1655,15.61
BTCUSDT,3.0,0.5,1.0,1.75,3.0,45.2891,16.0,18.0,53.66,6.0076,15.61
BTCUSDT,3.0,0.5,1.0,2.0,1.5,29.7891,0.5,2.5,53.66,8.1655,15.66
BTCUSDT,3.0,0.5,1.0,2.0,2.0,34.2891,5.0,7.0,53.66,7.1655,15.61
BTCUSDT,3.0,0.5,1.0,2.0,2.5,38.7891,9.5,11.5,53.66,6.1655,15.61
BTCUSDT,3.0,0.5,1.0,2.0,3.0,43.2891,14.0,16.0,53.66,6.0076,15.61
BTCUSDT,3.0,0.5,1.0,2.5,1.5,28.2891,-1.0,1.0,53.66,8.6655,15.66
BTCUSDT,3.0,0.5,1.0,2.5,2.0,31.2891,2.0,4.0,53.66,8.1655,15.61
BTCUSDT,3.0,0.5,1.0,2.5,2.5,34.2891,5.0,7.0,53.66,7.6655,15.61
BTCUSDT,3.0,0.5,1.0,2.5,3.0,37.2891,8.0,10.0,53.66,7.1655,15.61
BTCUSDT,5.0,0.5,1.0,1.25,1.5,54.2891,3.0,5.0,53.66,4.3451,15.66
BTCUSDT,5.0,0.5,1.0,1.25,2.0,63.2891,12.0,14.0,53.66,3.9593,15.61
BTCUSDT,5.0,0.5,1.0,1.25,2.5,72.2891,21.0,23.0,53.66,3.9593,15.61
BTCUSDT,5.0,0.5,1.0,1.25,3.0,81.2891,30.0,32.0,53.66,3.9593,15.61
BTCUSDT,5.0,0.5,1.0,1.5,1.5,52.7891,1.5,3.5,53.66,4.8451,15.66
BTCUSDT,5.0,0.5,1.0,1.5,2.0,60.2891,9.0,11.0,53.66,4.8451,15.61
BTCUSDT,5.0,0.5,1.0,1.5,2.5,67.7891,16.5,18.5,53.66,4.8451,15.61
BTCUSDT,5.0,0.5,1.0,1.5,3.0,75.2891,24.0,26.0,53.66,4.8451,15.61
BTCUSDT,5.0,0.5,1.0,1.75,1.5,52.2891,1.0,3.0,53.66,4.8451,15.66
BTCUSDT,5.0,0.5,1.0,1.75,2.0,59.2891,8.0,10.0,53.66,4.8451,15.61
BTCUSDT,5.0,0.5,1.0,1.75,2.5,66.2891,15.0,17.0,53.66,4.8451,15.61
BTCUSDT,5.0,0.5,1.0,1.75,3.0,73.2891,22.0,24.0,53.66,4.8451,15.61
BTCUSDT,5.0,0.5,1.0,2.0,1.5,51.7891,0.5,2.5,53.66,4.8451,15.66
BTCUSDT,5.0,0.5,1.0,2.0,2.0,58.2891,7.0,9.0,53.66,4.8451,15.61
BTCUSDT,5.0,0.5,1.0,2.0,2.5,64.7891,13.5,15.5,53.66,4.8451,15.61
BTCUSDT,5.0,0.5,1.0,2.0,3.0,71.2891,20.0,22.0,53.66,4.8451,15.61
BTCUSDT,5.0,0.5,1.0,2.5,1.5,50.2891,-1.0,1.0,53.66,4.8451,15.66
BTCUSDT,5.0,0.5,1.0,2.5,2.0,55.2891,4.0,6.0,53.66,4.8451,15.61
BTCUSDT,5.0,0.5,1.0,2.5,2.5,60.2891,9.0,11.0,53.66,4.8451,15.61
BTCUSDT,5.0,0.5,1.0,2.5,3.0,65.2891,14.0,16.0,53.66,4.8451,15.61
BTCUSDT,8.0,0.5,1.0,1.25,1.5,83.2891,-7.0,10.0,53.66,4.3451,15.95
BTCUSDT,8.0,0.5,1.0,1.25,2.0,87.2891,-3.0,14.0,53.66,3.8451,15.8
BTCUSDT,8.0,0.5,1.0,1.25,2.5,97.7891,7.5,24.5,53.66,3.7983,15.8
BTCUSDT,8.0,0.5,1.0,1.25,3.0,103.2891,13.0,30.0,53.66,3.7983,15.8
BTCUSDT,8.0,0.5,1.0,1.5,1.5,81.7891,-8.5,8.5,53.66,4.8451,15.95
BTCUSDT,8.0,0.5,1.0,1.5,2.0,84.2891,-6.0,11.0,53.66,4.8451,15.8
BTCUSDT,8.0,0.5,1.0,1.5,2.5,93.2891,3.0,20.0,53.66,4.8451,15.8
BTCUSDT,8.0,0.5,1.0,1.5,3.0,97.2891,7.0,24.0,53.66,4.8451,15.8
BTCUSDT,8.0,0.5,1.0,1.75,1.5,81.2891,-9.0,8.0,53.66,4.8451,15.95
BTCUSDT,8.0,0.5,1.0,1.75,2.0,83.2891,-7.0,10.0,53.66,4.8451,15.8
BTCUSDT,8.0,0.5,1.0,1.75,2.5,91.7891,1.5,18.5,53.66,4.8451,15.8
BTCUSDT,8.0,0.5,1.0,1.75,3.0,95.2891,5.0,22.0,53.66,4.8451,15.8
BTCUSDT,8.0,0.5,1.0,2.0,1.5,80.7891,-9.5,7.5,53.66,4.8451,15.95
BTCUSDT,8.0,0.5,1.0,2.0,2.0,82.2891,-8.0,9.0,53.66,4.8451,15.8
BTCUSDT,8.0,0.5,1.0,2.0,2.5,90.2891,0.0,17.0,53.66,4.8451,15.8
BTCUSDT,8.0,0.5,1.0,2.0,3.0,93.2891,3.0,20.0,53.66,4.8451,15.8
BTCUSDT,8.0,0.5,1.0,2.5,1.5,79.2891,-11.0,6.0,53.66,4.8451,15.95
BTCUSDT,8.0,0.5,1.0,2.5,2.0,79.2891,-11.0,6.0,53.66,4.8451,15.8
BTCUSDT,8.0,0.5,1.0,2.5,2.5,85.7891,-4.5,12.5,53.66,4.8451,15.8
BTCUSDT,8.0,0.5,1.0,2.5,3.0,87.2891,-3.0,14.0,53.66,4.8451,15.8
SOLUSDT,3.0,0.5,1.0,1.25,1.5,22.7612,8.5,6.5,44.09,8.5455,8.73
SOLUSDT,3.0,0.5,1.0,1.25,2.0,29.2612,15.0,13.0,44.09,8.5455,8.73
SOLUSDT,3.0,0.5,1.0,1.25,2.5,35.7612,21.5,19.5,44.09,8.5455,8.73
SOLUSDT,3.0,0.5,1.0,1.25,3.0,42.2612,28.0,26.0,44.09,8.5455,8.73
SOLUSDT,3.0,0.5,1.0,1.5,1.5,21.2612,7.0,5.0,44.09,8.5455,8.73
SOLUSDT,3.0,0.5,1.0,1.5,2.0,26.2612,12.0,10.0,44.09,8.5455,8.73
SOLUSDT,3.0,0.5,1.0,1.5,2.5,31.2612,17.0,15.0,44.09,8.5455,8.73
SOLUSDT,3.0,0.5,1.0,1.5,3.0,36.2612,22.0,20.0,44.09,8.5455,8.73
SOLUSDT,3.0,0.5,1.0,1.75,1.5,19.7612,5.5,3.5,44.09,8.5455,8.73
SOLUSDT,3.0,0.5,1.0,1.75,2.0,23.2612,9.0,7.0,44.09,8.5455,8.73
SOLUSDT,3.0,0.5,1.0,1.75,2.5,26.7612,12.5,10.5,44.09,8.5455,8.73
SOLUSDT,3.0,0.5,1.0,1.75,3.0,30.2612,16.0,14.0,44.09,8.5455,8.73
SOLUSDT,3.0,0.5,1.0,2.0,1.5,18.2612,4.0,2.0,44.09,8.5455,8.77
SOLUSDT,3.0,0.5,1.0,2.0,2.0,20.2612,6.0,4.0,44.09,8.5455,8.77
SOLUSDT,3.0,0.5,1.0,2.0,2.5,22.2612,8.0,6.0,44.09,8.5455,8.77
SOLUSDT,3.0,0.5,1.0,2.0,3.0,24.2612,10.0,8.0,44.09,8.5455,8.77
SOLUSDT,3.0,0.5,1.0,2.5,1.5,17.2612,3.0,1.0,44.09,8.5455,8.77
SOLUSDT,3.0,0.5,1.0,2.5,2.0,18.2612,4.0,2.0,44.09,8.5455,8.77
SOLUSDT,3.0,0.5,1.0,2.5,2.5,19.2612,5.0,3.0,44.09,8.5455,8.77
SOLUSDT,3.0,0.5,1.0,2.5,3.0,20.2612,6.0,4.0,44.09,8.5455,8.77
SOLUSDT,5.0,0.5,1.0,1.25,1.5,40.7612,-5.5,8.5,44.09,9.288,8.73
SOLUSDT,5.0,0.5,1.0,1.25,2.0,49.2612,3.0,17.0,44.09,8.788,8.73
SOLUSDT,5.0,0.5,1.0,1.25,2.5,57.7612,11.5,25.5,44.09,8.5455,8.73
SOLUSDT,5.0,0.5,1.0,1.25,3.0,66.2612,20.0,34.0,44.09,8.5455,8.73
SOLUSDT,5.0,0.5,1.0,1.5,1.5,39.2612,-7.0,7.0,44.09,9.288,8.73
SOLUSDT,5.0,0.5,1.0,1.5,2.0,46.2612,0.0,14.0,44.09,8.788,8.73
SOLUSDT,5.0,0.5,1.0,1.5,2.5,53.2612,7.0,21.0,44.09,8.5455,8.73
SOLUSDT,5.0,0.5,1.0,1.5,3.0,60.2612,14.0,28.0,44.09,8.5455,8.73
SOLUSDT,5.0,0.5,1.0,1.75,1.5,37.7612,-8.5,5.5,44.09,9.288,8.73
SOLUSDT,5.0,0.5,1.0,1.75,2.0,43.2612,-3.0,11.0,44.09,8.788,8.73
SOLUSDT,5.0,0.5,1.0,1.75,2.5,48.7612,2.5,16.5,44.09,8.5455,8.73
SOLUSDT,5.0,0.5,1.0,1.75,3.0,54.2612,8.0,22.0,44.09,8.5455,8.73
